institution_id,key_strengths,key_weaknesses,deposit_angle,embedded_finance_angle,payments_angle,threat_level,our_counter_positioning,bd_talking_points,open_questions
kuveyt_turk,Strong SME reach; credible digital channels; relevant payments or ecosystem signals.,Gömülü Finans proposition is still fragmented and Fiyatlama Şeffaflığı can improve.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.",Payments relevance is selective; focus on adjacent data and merchant insights.,Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
iyzico,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,yüksek öncelikli benchmark for workakışı-native SME financial services.,"Payments can become an entry point for daily banking, reconciliation and deposit capture.",Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
paytr,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,"Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.","Payments can become an entry point for daily banking, reconciliation and deposit capture.",Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
param,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,"Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.","Payments can become an entry point for daily banking, reconciliation and deposit capture.",Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
sipay,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,"Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.","Payments can become an entry point for daily banking, reconciliation and deposit capture.",Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
papara,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,"Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.",Payments relevance is selective; focus on adjacent data and merchant insights.,Düşük,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
paycell,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,"Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.",Payments relevance is selective; focus on adjacent data and merchant insights.,Düşük,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
moka,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,"Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.","Payments can become an entry point for daily banking, reconciliation and deposit capture.",Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
visa,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,yüksek öncelikli benchmark for workakışı-native SME financial services.,"Payments can become an entry point for daily banking, reconciliation and deposit capture.",Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
mastercard,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,yüksek öncelikli benchmark for workakışı-native SME financial services.,"Payments can become an entry point for daily banking, reconciliation and deposit capture.",Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
troy,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,"Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.","Payments can become an entry point for daily banking, reconciliation and deposit capture.",Düşük,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
stripe,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,yüksek öncelikli benchmark for workakışı-native SME financial services.,"Payments can become an entry point for daily banking, reconciliation and deposit capture.",Yüksek,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
adyen,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,yüksek öncelikli benchmark for workakışı-native SME financial services.,"Payments can become an entry point for daily banking, reconciliation and deposit capture.",Yüksek,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
square,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.",yüksek öncelikli benchmark for workakışı-native SME financial services.,"Payments can become an entry point for daily banking, reconciliation and deposit capture.",Yüksek,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
sumup,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,Deposit threat is indirect; watch balance products embedded into merchant workakışları.,"Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.","Payments can become an entry point for daily banking, reconciliation and deposit capture.",Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
revolut_business,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.",yüksek öncelikli benchmark for workakışı-native SME financial services.,"Payments can become an entry point for daily banking, reconciliation and deposit capture.",Yüksek,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
wise_business,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.","Build İş ortağı üzerinden offers around accounting, e-commerce and sector platforms.",Payments relevance is selective; focus on adjacent data and merchant insights.,Orta,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
shopify_payments,Fast merchant onboarding; strong product specialization; clear digital experience.,Limited deposit ownership in Türkiye and daha düşük relationship banking depth.,"Use operating balances, POS settlement akışları and treasury conversations to deepen KOBİ Mevduat.",yüksek öncelikli benchmark for workakışı-native SME financial services.,"Payments can become an entry point for daily banking, reconciliation and deposit capture.",Yüksek,"Position the bank around trusted SME relationship depth, cash-akışı insight and bundled daily banking economics.",Ask where the client holds operating balances; quantify payment settlement leakage; propose a deposit-plus-payments İncele.,Which partner channels are gaining SME attention? Where are fees unclear? Which journey step still requires branch intervention?
