development_id,date,institution_id,institution_name,headline,strategic_theme,product_area,development_type,summary,core_assessment,strategic_relevance,impact_on_us,recommended_action,importance_level,source_id,analyst_note,tags,summary_id,recent_item_id,cluster_id,related_item_ids,source_urls,source_url,item_url,section,published_at
DEV-SUM-385111958c8e,31 Temmuz 2026,yapi_kredi,Yapı Kredi,"Yapı Kredi, yeni ticari müşterilere 1 yıllık muhasebe yazılımı hediye ediyor",Kampanyalar,Dijital KOBİ Yolculuğu,Kampanya,"Yapı Kredi, Robom ön muhasebe yazılımının 1 yıllık paketini (2.988 TL değer) hediye olarak sunuyor. Kampanya, Yapı Kredi Mobil'den ilk defa ticari hesap açan ve World Business kartına başvuran şahıs işletmecilerine yönelik; 18 Haziran - 31 Temmuz 2026 tarihleri arasında geçerli.","Yeni ticari müşteri kazanımını yazılım hediyesiyle destekleyen, ama sınırlı kapsam ve zaman dilimi olan bir kampanya; düşük değerli PR.","Akbank için asıl soru, bu tip yazılım/hizmet hediyelerinin yeni KOBİ müşteri kazanımında gerçekten etkili olup olmadığı. Kampanya, ticari kart aktivasyonunu desteklemek için tasarlanmış; mevduat, kredi veya nakit yönetimi tarafında doğrudan bir hamle değil.",Düşük,Önceliklendirme,Düşük,REG-011,,recent_item_flow;summary_id:SUM-385111958c8e;recent_item_id:RI-99a532c48ce4;confidence:Yüksek,SUM-385111958c8e,RI-99a532c48ce4,,,,https://www.yapikredi.com.tr/kampanyalar/kategori/kobi/,https://www.yapikredi.com.tr/kampanyalar/detay/256293,Stratejik / BD Gelişmeleri,2026-06-24T13:57:14.778247+00:00
DEV-SUM-31e7be6d0823,2026-06-10,qnb_finansbank,QNB Finansbank,QNB Mastercard Ticari Kart: TotalEnergies'te %4 Yakıt İndirimi,Kampanyalar,Ödemeler ve POS,Kampanya,"QNB Finansbank, Mastercard Ticari Kart sahiplerine TotalEnergies Yakıtmatik üzerinden benzin ve dizel alımlarında %4 anında indirim sunuyor. Kampanya 10 Haziran - 31 Aralık 2026 tarihleri arasında geçerli.",Ticari kart aktivasyonu için net bir taktik; işletme operasyonel maliyetlerini (yakıt) ödeme kartı kullanımına bağlıyor.,"Bu haberin önemi, QNB'nin ticari kart kullanım sıklığını artırmak için işletme gider kategorilerine doğrudan indirim bağlaması. Akbank için asıl soru, benzer operasyonel gider kategorileri (yakıt, lojistik, kargo) üzerinden ticari kart aktivasyonu kampanyalarının KOBİ müşteri tutumunda ne kadar etkili olduğu.",Düşük,İzle,Düşük,REG-062,,recent_item_flow;summary_id:SUM-31e7be6d0823;recent_item_id:RI-e4561838b13d;confidence:Yüksek,SUM-31e7be6d0823,RI-e4561838b13d,,,,https://www.qnbcard.com.tr/kartlar/ticari-kartlar/qnb-kobi-ticari-kredi-karti/qnb-kobi-ticari-kredi-karti-kampanyalari,https://www.qnbcard.com.tr/kartlar/ticari-kartlar/qnb-kobi-ticari-kredi-karti/qnb-kobi-ticari-kredi-karti-kampanyalari/totalenergies-istasyonlarinda-yakitmatikte-indirim-kampanyasi,Stratejik / BD Gelişmeleri,2026-06-24T13:57:17.044014+00:00
DEV-CL-f09ecebc67dd,2026-05-20,,Garanti BBVA,Garanti BBVA'nın Kurumsal İmaj ve Güvenilirlik Inşası,Kurumsal Konumlandırma,Diğer,Patern / Küme,"Garanti BBVA, 2026 Mayıs-Haziran döneminde uluslararası ödül (Global Finance) ve sosyal sorumluluk platformu (Global Summit of Women) üzerinden kurumsal itibar güçlendirme hareketi yürütüyor. Her iki aktivite de banka olarak 'performans + sosyal değer' mesajını eş zamanlı olarak piyasaya taşıyor.","Tekil kampanyalar değil; koordineli bir kurumsal konumlandırma hareketi. Garanti BBVA, finansal güç (ödül) ve sosyal etki (kadın girişimciliği) kombinasyonuyla 'sorumlu ve başarılı banka' imajını inşa ediyor. Bu, müşteri güveni ve marka değeri artışı için tasarlanmış bir desen.","Kurumsal itibar, KOBİ müşteri kararlarında rol oynar. Garanti BBVA, özellikle kadın girişimciler ve sosyal değer gören müşteriler açısından tercih edilebilirliğini artırıyor. Aynı zamanda uluslararası yatırımcı ve ortaklar nezdinde 'güvenilir ve sürdürülebilir' imajı pekiştiriyor.",Orta,İzle,Orta,,Analist onayından geçmiş küme/patern sentezi.,cluster_flow;cluster_id:CL-f09ecebc67dd;item_count:2,,,CL-f09ecebc67dd,"[""RI-f2f1685394b7"", ""RI-4ddd18aa0015""]","[""https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-summit-of-women-2026"", ""https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-bankasi-odulu-2026""]",,,Patern / Küme Gelişmeler,2026-06-24T13:58:17.972968+00:00
DEV-CL-c74625293c40,2026-06-01,,Garanti BBVA,Garanti BBVA'nın Sürdürülebilirlik Finansmanında Koordinatör Konumlandırması,KOBİ Kredileri,KOBİ Kredileri,Patern / Küme,"Garanti BBVA, Haziran 2026'de üç ayrı işlemle sürdürülebilirlik temalı finansmanda koordinatör ve yapılandırıcı rolünü güçlendiriyor. 255 milyon dolar sendikasyon kredisi, 2 milyar TL IRS işlemi ve 975 milyon euro türev işlemi kapsamında, bankanın bu segmentte merkezi bir aktör olarak konumlanmasını hedefliyor.","Tekil kampanyalar değil; koordine bir konumlandırma stratejisi. Garanti BBVA, sürdürülebilirlik finansmanında yapılandırıcı ve koordinatör rolünü kurumsal kimliğinin merkezine yerleştiriyor. Uluslararası sendikasyon, iç grup işlemleri ve büyük altyapı projelerinde tutarlı bir mesaj taşıyor.","Sürdürülebilirlik finansmanı, kurumsal ve altyapı kredilerinde giderek belirleyici bir kriter haline geliyor. Garanti BBVA, bu alanda koordinatör konumunu kurumsallaştırarak, müşteri seçiminde tercih sırasını yükseltmeyi hedefliyor. Özellikle büyük projelerde finansman yapısında söz sahibi olmak, ürün ve hizmet çeşitliliğini artırıyor.",Düşük,İzle,Orta,,Analist onayından geçmiş küme/patern sentezi.,cluster_flow;cluster_id:CL-c74625293c40;item_count:3,,,CL-c74625293c40,"[""RI-2b0df05d9558"", ""RI-975507b1b15c"", ""RI-b415e9977087""]","[""https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-surdurulebilir-sendikasyon-kredisi"", ""https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-leasing-surdurulebilirlik-cerceve-mutabakati"", ""https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-surdurulebilirlik-koordinasyonu""]",,,Patern / Küme Gelişmeler,2026-06-24T13:58:23.923588+00:00
DEV-SUM-8cc0b3da2237,3 Haziran 2026,ing,ING,"ING, KOBİ'lere ücretsiz EFT/havale ve ticari kart paketi sunuyor",Kampanyalar,Ödemeler ve POS,Kampanya,"ING Türkiye, KOBİ müşterilerine 7/24 ücretsiz EFT/havale/FAST, aidatsız ING Bonus Business ticari kart ve yeni yazarkasa POS başvurusunda 5.000 TL’ye kadar nakit iade sunuyor. Kampanya, dijital kanallar üzerinden şubesiz ticari müşteri edinimini destekliyor.","Gerçek KOBİ/ticari teklif; ücretsiz işlem, ticari kart ve POS kazanımını tek pakette birleştiriyor.","Akbank için izlenmesi gereken sinyal, ING’nin KOBİ ediniminde ücret muafiyeti, ticari kart ve POS nakit iadesini birlikte kullanması. 20 Mayıs’taki bireysel masrafsız bankacılık araştırması bağımsız KOBİ gelişmesi değil; bu kampanyanın fiyat hassasiyeti anlatısını destekleyen bağlamsal veri olarak kullanılmalı.",Orta,BD Konuşma Notlarına Ekle,Orta,REG-083,20 Mayıs 2026 ING masrafsız bankacılık araştırması bağımsız KOBİ gelişmesi değil; bu kampanyaya bağlamsal fiyat hassasiyeti verisi olarak eklendi.,recent_item_flow;summary_id:SUM-8cc0b3da2237;recent_item_id:RI-b461fe1c2787;confidence:Yüksek,SUM-8cc0b3da2237,RI-b461fe1c2787,,,,https://www.ing.com.tr/tr/ing/basin-odasi/basin-bultenleri/2026,https://www.ing.com.tr/F/Documents/pdf/Basin_Odasi/2026/INGden_KOBIlere_masrafsiz_bankacilik_destegi.pdf,Stratejik / BD Gelişmeleri,2026-06-25T12:34:31.871024+00:00
DEV-MA-SUM-9e4bcb40d661,05 Mayıs 2026,,Alternatif Bank,"Alternatif Bank'a 3 Uluslararası Ödül (Kurumsal, Ticari Bankacılık, Dış Ticaret)",Kurumsal Konumlandırma,Diğer,Yönetici Bilgilendirme,"Alternatif Bank, Stevie Awards'ta VOV Tüzel Hesap ürünü için Bronz Ödül, Global Brands Magazine'den Ticaret Finansmanı Mükemmellik Ödülü ve IFC'den Sürdürülebilir Dış Ticaret Üstün Başarı Ödülü aldı. Ödüller, bankanın kurumsal ve dış ticaret alanındaki konumlandırmasını güçlendirmeyi amaçlayan PR faaliyeti.",Düşük değerli PR; KOBİ tarafında aksiyon gerektirmiyor.,"Bu içerik Alternatif Bank'ın kurumsal itibarını destekliyor, ancak KOBİ mevduat, kredi, POS, nakit yönetimi veya dijital edinim tarafında pratik bir sonuç üretmiyor. Ödüller geçmiş performansa yönelik ve yeni ürün/hizmet lansmanı içermiyor.",Düşük,Yönetici Bilgilendirme Notuna Ekle,Düşük,,,management_awareness;summary_id:SUM-9e4bcb40d661;recent_item_id:RI-f6167c763174,SUM-9e4bcb40d661,RI-f6167c763174,,,,https://www.alternatifbank.com.tr/hakkimizda/basin-odasi/basin-bultenleri-ve-duyurular,https://www.alternatifbank.com.tr/hakkimizda/basin-odasi/basin-bultenleri-ve-duyurular/alternatif-banka-uc-uluslararasi-odul,Yönetici Bilgilendirme / İtibar Sinyalleri,2026-06-25T12:34:57.843557+00:00
DEV-MA-SUM-7128cadc4525,2026-05-15,,Şekerbank,Şekerbank Yerinde Kredi platformu The Banker ödülü aldı,KOBİ Kredileri,KOBİ Kredileri,Yönetici Bilgilendirme,"Şekerbank, The Banker tarafından düzenlenen Technology Awards 2026'da Yerinde Kredi platformuyla Digital Transformation Project kategorisinde birinci oldu. Platform, çiftçi ve esnaf müşterilerine sahada anında kredi kullanımı imkanı sağlıyor.","The Banker ödülü, Şekerbank’ın saha finansmanı modeli Yerinde Kredi’nin görünürlük kazandığını gösteriyor; doğrudan ürün ya da fiyat yanıtı gerektirmiyor.","Bu haberin önemi ödülden çok, çiftçi ve esnaf müşterilere şube dışı kredi erişimi sağlayan modelin dış doğrulama alması. Akbank için takip noktası, benzer saha finansmanı ve dağıtım modellerinin KOBİ kredi deneyimini nasıl etkilediği.",Düşük,Yönetici Bilgilendirme Notuna Ekle,Orta,,,management_awareness;summary_id:SUM-7128cadc4525;recent_item_id:RI-25a788170d4d,SUM-7128cadc4525,RI-25a788170d4d,,,,https://www.sekerbank.com.tr/hakkimizda/basin-odasi,https://www.sekerbank.com.tr/hakkimizda/basin-odasi/basin-bultenlerimiz/2026/sekerbankin-yerinde-kredi-platformuna-the-bankerdan-odul,Yönetici Bilgilendirme / İtibar Sinyalleri,2026-06-26T09:00:08.974319+00:00
DEV-SUM-4d73d27758f9,23 Haziran 2026,garanti_bbva,Garanti BBVA,Garanti BBVA ve TÜRKONFED'in KOBİ dijital-yeşil dönüşüm projesi,Ekosistem İş Birlikleri,Ekosistem İş Birlikleri,İş Birliği,"Garanti BBVA, TÜRKONFED ile ortaklaşa yürüttüğü 'İkiz Dönüşümde Yeni Ufuklar' projesinin ilk fazını kapatıyor. Proje, KOBİ'lerin dijitalleşme ve sürdürülebilirlik konularında rehberlik ve finansman desteği sunuyor.","Garanti BBVA, sektör birlikleri üzerinden KOBİ danışmanlığı ve finansman desteğini paketleyerek uzun vadeli müşteri ilişkisi kuruyor; ekosistem iş birliği tarafında izlenmeli.","Bu haberin önemi, Garanti'nin KOBİ'leri finansman ürününe değil, dijital-yeşil dönüşüm danışmanlığı ve eğitim üzerinden çekerek 'yol arkadaşı' konumlandırması. Akbank için asıl soru, benzer sektör birlikleri (TÜRKONFED, TOBB, KOSGEB vb.) üzerinden KOBİ kazanımı ve finansman satışı fırsatlarının ne kadar açık olduğu.",Orta,İzle,Orta,REG-003,,recent_item_flow;summary_id:SUM-4d73d27758f9;recent_item_id:RI-486659a98116;confidence:Yüksek,SUM-4d73d27758f9,RI-486659a98116,,,,https://www.garantibbva.com.tr/kurumsal-iletisim,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/turkonfed-ve-garanti-bbvadan-ankarada-ikiz-donusum-bulusmasi,Stratejik / BD Gelişmeleri,2026-06-29T14:14:36.617845+00:00
DEV-MA-SUM-3232561491f8,26 Haziran 2026,,Garanti BBVA,"Garanti BBVA, Global Finance'ten Türkiye'nin En İyi Nakit Yönetimi Bankası Ödülünü Aldı",Nakit Yönetimi,Nakit Yönetimi,Yönetici Bilgilendirme,"Garanti BBVA, Global Finance tarafından düzenlenen 2026 ödüllerinde Türkiye'nin En İyi Nakit Yönetimi Bankası seçildi. Banka, tahsilat, ödeme, finansman ve entegrasyon çözümlerinden oluşan geniş ekosistem ile 650 bin müşteriye nakit yönetimi hizmeti veriyor.","Garanti BBVA, nakit yönetimi alanında liderlik konumunu pekiştiriyor; Akbank için nakit yönetimi ve API tabanlı entegrasyon çözümlerinde rekabet yoğunluğu artıyor.","Bu haberin önemi, Garanti'nin nakit yönetimi ekosistemini (DCS, SWIFT GPI, SWIFT Go, sanal IBAN, API servisleri, tedarik zinciri finansmanı) aktif olarak geliştirip pazarlaması. Akbank için asıl soru, KOBİ müşterilerimizin tahsilat-ödeme-finansman entegrasyonu tarafında benzer çözüm derinliğine ve müşteri tabanına sahip olup olmadığı.",Orta,Yönetici Bilgilendirme Notuna Ekle,Orta,,,management_awareness;summary_id:SUM-3232561491f8;recent_item_id:RI-4bd38c2acf44,SUM-3232561491f8,RI-4bd38c2acf44,,,,https://www.garantibbva.com.tr/kurumsal-iletisim,https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/global-finance-turkiye-nin-en-iyi-nakit-yonetimi-bankasi-odulu-2026,Yönetici Bilgilendirme / İtibar Sinyalleri,2026-06-30T10:29:20.383635+00:00
DEV-SUM-b1a65895a10a,2026-07-22,yapi_kredi,Yapı Kredi,"Yapı Kredi, mobil uygulamadan ticari müşteri kazanımına 1 yıl ücretsiz işlem paketi ile gidiyor",Dijital KOBİ Yolculuğu,Dijital KOBİ Yolculuğu,Kampanya,"Yapı Kredi, Yapı Kredi Mobil uygulamasından ilk defa müşteri olan ve ticari üyelik açan KOBİ'lere 1 yıl boyunca EFT, FAST, havale, çek karnesi ve çek tahsilat işlemlerini ücretsiz sunuyor. Kampanya, dijital kanaldan yeni ticari müşteri edinimini hızlandırmayı hedefliyor.","Yapı Kredi, yeni ticari müşteri kazanımını dijital kanal üzerinden ücret muafiyetleriyle destekliyor; KOBİ mevduat ve nakit yönetimi tarafında izlenmeli.","Bu haberin önemi, Yapı Kredi'nin mobil uygulamayı ticari müşteri kazanımının ana kapısı olarak konumlandırması. Akbank için asıl soru, benzer ücretsiz işlem paketlerinin yeni KOBİ müşteri ediniminde ne kadar etkili olduğu ve Akbank'ın dijital onboarding sürecinde karşılaştırılabilir bir fiyat avantajı sunup sunmadığı.",Orta,İzle,Orta,REG-011,,recent_item_flow;summary_id:SUM-b1a65895a10a;recent_item_id:RI-bf6b1fa3bed3;confidence:Yüksek,SUM-b1a65895a10a,RI-bf6b1fa3bed3,,,,https://www.yapikredi.com.tr/kampanyalar/kategori/kobi/,https://www.yapikredi.com.tr/kampanyalar/detay/248208,Stratejik / BD Gelişmeleri,2026-07-22T08:57:56.572622+00:00
DEV-SUM-bcd8a365da49,2026-07-21,stripe,Stripe,"Stripe, Ramp'ın stablecoin ödeme ve hesap ürünlerini güçlendiriyor",Gömülü Finans,Gömülü Finans,İş Birliği,"Stripe, Ramp'ın stablecoin tabanlı ödeme (Bill Pay) ve hesap yönetimi ürünlerini API ve cüzdan altyapısı ile destekliyor. Ramp müşterileri banka hesaplarından 24/7 stablecoin ödemeleri yapabiliyor ve dolar cinsinden stablecoin hesaplarında para tutup dünya çapında anlık transferler gerçekleştirebiliyor.","Stripe, fintech ortaklarına stablecoin API'si sunarak gömülü finans ve ödeme altyapısını derinleştiriyor; izlenmeli.","Bu haberin önemi, Stripe'ın stablecoin orkestrasyon ve cüzdan altyapısını fintech ortaklarına açması. Akbank için asıl soru, benzer API-tabanlı ödeme ve hesap yönetimi çözümlerinin KOBİ müşterilerine sunulup sunulamayacağı ve bu tür 24/7 anlık transferlerin nakit yönetimi tarafında ne kadar talep gördüğü.",Orta,İzle,Orta,REG-041,,recent_item_flow;summary_id:SUM-bcd8a365da49;recent_item_id:RI-52d6e0675be4;confidence:Yüksek,SUM-bcd8a365da49,RI-52d6e0675be4,,,,https://stripe.com/newsroom,https://stripe.com/newsroom/news/ramp-and-stripe,Stratejik / BD Gelişmeleri,2026-07-22T11:53:34.110949+00:00
DEV-SUM-c9b514458094,2026-01-07,square,Square,"Square, ChatGPT ve Claude üzerinden AI-destekli müşteri keşfi ve sipariş entegrasyonu sunuyor",Gömülü Finans,Gömülü Finans,Ürün Lansmanı,"Square, ChatGPT uygulaması ve Claude eklentisi aracılığıyla restoran ve işletmelerin AI sohbet araçlarında keşfedilmesini ve doğrudan sipariş almasını sağlıyor. Entegrasyon ücretsize, otomatik ve teknik kurulum gerektirmiyor; Square, işletme bilgisi ve menü verilerini gerçek zamanlı senkronize ediyor.","Square, ödeme ve sipariş işlemini AI asistan kanallarına gömüyor; gömülü finans ve kanal çeşitlendirmesi tarafında izlenmeli.","Bu haberin önemi, Square'nin işletmeleri yeni müşteri bulma kanallarına otomatik olarak yerleştirmesi ve bu kanallardan gelen siparişleri doğrudan POS sistemine yönlendirmesi. Akbank için asıl soru, benzer AI asistan entegrasyonlarının KOBİ müşterilerine sunulup sunulamayacağı ve bu tür kanallardan gelen işlemlerin tahsilat/ödeme ürünlerine nasıl bağlanabileceği.",Orta,İzle,Orta,REG-233,,recent_item_flow;summary_id:SUM-c9b514458094;recent_item_id:RI-6bf02ce2ed27;confidence:Yüksek,SUM-c9b514458094,RI-6bf02ce2ed27,,,,https://squareup.com/us/en/press,https://squareup.com/us/en/press/claude-chatgpt-integrations,Stratejik / BD Gelişmeleri,2026-07-22T11:59:33.868533+00:00
DEV-CL-03c6dd9f69f3,2026-06-16,,Garanti BBVA,Garanti BBVA'nın Sürdürülebilirlik Finansmanı Ekseninde Kurumsal Konumlandırması,,,Patern / Küme,"Garanti BBVA, Haziran 2026'de sürdürülebilirlik temalı finansman araçlarında iki ardışık işlem gerçekleştirdi. İlk olarak 15 ülkeden 32 finansal kurumun katılımıyla 321 milyon dolar ve avro tutarında sendikasyon kredisi sağladı. Ardından kendi leasing birimiyle 2 milyar TL ve 5 milyon euro tutarında sürdürülebilirlik performans kriterli işlem yaptı. Her iki işlem de adil geçiş ve düşük karbonlu ek","Tekil kampanyalar değil; koordine bir konumlandırma hareketi. Garanti BBVA, sürdürülebilirlik finansmanını kurumsal kimliğinin merkezi unsuru olarak yerleştiriyor. Uluslararası sendikasyon kredisi ile iç finansman işleminin birlikte yapılması, bu alanı stratejik bir büyüme ve farklılaştırma alanı olarak gördüğünü gösteriyor.","Sürdürülebilirlik finansmanı, kurumsal müşteri tabanında hızla büyüyen bir talep alanı. Garanti BBVA, bu segmentte erken mover avantajı kazanıyor ve uluslararası finansal kurumlarla ağ kuruyor. Leasing biriminin entegrasyonu, ürün portföyünü genişletip müşteri bağlılığını artırıyor.",Düşük,İzle,Orta,,Sürdürülebilirlik finansmanı kurumsal konumlandırma açısından anlamlı ancak KOBİ/BD aksiyonuna dönüşmesi için ek kanıt gerekiyor.,cluster_flow;cluster_id:CL-03c6dd9f69f3;item_count:2,,,CL-03c6dd9f69f3,"[""RI-2b0df05d9558"", ""RI-975507b1b15c""]","[""https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-surdurulebilir-sendikasyon-kredisi"", ""https://www.garantibbva.com.tr/content/public-website/kurumsal-iletisim/garanti-bbva-leasing-surdurulebilirlik-cerceve-mutabakati""]",,,Patern / Küme Gelişmeler,2026-07-22T11:59:52.801933+00:00
DEV-SUM-9efaaae07858,2026-04-05,wise,Wise,"Wise, Kanada'da çok para birimli faiz ürünü başlattı",KOBİ Mevduat,KOBİ Mevduat,Ürün Lansmanı,"Wise, Kanada müşterilerine tek hesaptan CAD, USD, EUR ve GBP üzerinden faiz kazanma imkanı sunuyor. Ürün minimum bakiye şartı, kilitlenme süresi ve ceza olmaksızın, para gönderme ve harcama işlemlerine devam etme olanağı veriyor.","Wise, çok para birimli mevduat ürünü ile KOBİ ve bireysel müşterilerin döviz bakiyelerinden gelir elde etmesini sağlıyor; Akbank'ın çok para birimli mevduat stratejisinde izlenmesi gereken bir gelişme.","Bu haberin önemi, Wise'ın mevduat tabanını büyütmek için faiz oranlarını (CAD %2.22, USD %3.14) ön plana çıkarması. Akbank için asıl soru, uluslararası ödeme yapan KOBİ müşterilerinin döviz bakiyelerini nerede tuttuğu ve faiz kazancı sunmanın bu segmenti çekip çekmeyeceği.",Orta,İzle,Orta,REG-239,,recent_item_flow;summary_id:SUM-9efaaae07858;recent_item_id:RI-39bfa4ea7849;confidence:Yüksek,SUM-9efaaae07858,RI-39bfa4ea7849,,,,https://newsroom.wise.com/releases/,https://newsroom.wise.com/en-NAM/265034-wise-introduces-first-of-its-kind-multi-currency-interest-feature-in-canada,Stratejik / BD Gelişmeleri,2026-07-22T12:32:36.734139+00:00
DEV-SUM-bc1abd8d8f60,2026-03-06,checkout,Checkout.com,"Checkout.com, ABD'de stablecoin ödeme tahsilatını Fireblocks ile ölçeklendiriyor",Ödemeler ve POS,Ödemeler ve POS,İş Birliği,"Checkout.com, ABD'deki işyerlerine 24/7 stablecoin tahsilat imkanı sunmak için Fireblocks ile ortaklık kurdu. Çözüm, geleneksel banka saatleri ve çok günlük transferlerin yerine anlık fon hareketini sağlıyor.","Checkout.com, işyerlerine kripto tabanlı tahsilat alternatifi sunarak ödeme altyapısında yeni bir kanal açıyor; Akbank'ın POS ve tahsilat stratejisinde izlenmesi gereken bir gelişme.","Bu haberin önemi, geleneksel banka tahsilatının yerine kripto/stablecoin tabanlı ödeme çözümlerinin kurumsal işyerler tarafından kabul görmesi. Akbank için asıl soru, benzer kripto-entegre tahsilat çözümlerinin KOBİ müşteri kazanımında veya mevcut müşteri tutumunda etkili olup olmadığı ve bu kanalın Türkiye'de uygulanabilirliği.",Orta,İzle,Orta,REG-238,,recent_item_flow;summary_id:SUM-bc1abd8d8f60;recent_item_id:RI-a298afd99ca3;confidence:Yüksek,SUM-bc1abd8d8f60,RI-a298afd99ca3,,,,https://www.checkout.com/newsroom,https://www.checkout.com/newsroom/checkout-com-scales-stablecoin-settlement-for-us-merchants-in-partnership-with-fireblocks,Stratejik / BD Gelişmeleri,2026-07-22T12:33:13.673947+00:00
DEV-SUM-5da34e032003,2026-07-24,the_paypers,The Paypers,"Visa ve Airwallex, kargo/lojistik sektörü için gömülü finans altyapısı geliştiriyor",Gömülü Finans,Gömülü Finans,İş Birliği,"Visa ve Airwallex, kargo ve gemi işletmeciliği platformlarına ödeme ve finansal hizmetleri entegre etmek için ortaklık kurdu. Çözüm, 42 günlük ortalama ödeme döngüsü ve yüksek işlem maliyetlerini azaltmayı hedefliyor.",Sektör kanalı üzerinden gömülü finans uygulaması; dikey pazarlarda finansal hizmetlerin operasyonel iş akışına entegrasyonu konusunda izlenmeli.,"Bu haberin önemi, Visa'nın gömülü finans stratejisini B2B ödeme uzmanlaşmasından sektör-spesifik çözümlere kaydırması. Akbank için asıl soru, benzer dikey pazarlarda (ulaştırma, lojistik, inşaat, tarım) finansal hizmetleri operasyonel yazılıma entegre etme fırsatlarının ne kadar büyük olduğu.",Orta,İzle,Orta,REG-242,,recent_item_flow;summary_id:SUM-5da34e032003;recent_item_id:RI-ad8101eb8bc3;confidence:Yüksek,SUM-5da34e032003,RI-ad8101eb8bc3,,,,https://thepaypers.com/news,https://thepaypers.com/payments/news/visa-and-airwallex-to-build-freight-payment-infrastructure,Stratejik / BD Gelişmeleri,2026-07-28T05:46:25.480680+00:00
DEV-SUM-d3333bec26e9,2026-07-16,payments_dive,Payments Dive,"Bottomline, CFO paketine stablecoin özelliği ekledi",Nakit Yönetimi,Nakit Yönetimi,Ürün Lansmanı,"Bottomline, kurumsal finans ekiplerinin mevcut ödeme ve hazine iş akışlarına dijital dolar işlemlerini entegre etmesini sağlayan stablecoin yeteneklerini CFO Suite ürününe ekledi. Özellik, onay, kontrol ve denetim süreçlerini mevcut yöntemlerle aynı şekilde yönetmeyi hedefliyor.",Kurumsal hazine ve nakit yönetimi tarafında stablecoin entegrasyonu; KOBİ nakit yönetimi ürünlerinde izlenmesi gereken bir teknoloji trendi.,"Bu haberin önemi, stablecoinlerin kurumsal ödeme ve likidite yönetiminde pratik bir araç haline gelmesini göstermesi. Akbank için asıl soru, KOBİ müşterilerinin 24/7 anlık ödeme ve uzlaştırma ihtiyaçlarında stablecoin çözümlerinin ne kadar talep göreceği ve Akbank'ın nakit yönetimi ürünlerinde benzer yeteneklerin ne zaman gerekli hale geleceği.",Orta,İzle,Orta,REG-241,,recent_item_flow;summary_id:SUM-d3333bec26e9;recent_item_id:RI-778eb201c777;confidence:Yüksek,SUM-d3333bec26e9,RI-778eb201c777,,,,https://www.paymentsdive.com/topic/technology/,https://www.paymentsdive.com/news/fintech-bottomline-brings-stablecoin-capabilities-cfo-suite/825337,Stratejik / BD Gelişmeleri,2026-07-28T06:55:55.941150+00:00
DEV-SUM-e4bd9a54e940,2026-07-24,the_paypers,The Paypers,Mastercard sanal kart platformunu güvenlik ve API entegrasyonuyla güçlendiriyor,Gömülü Finans,Gömülü Finans,Teknoloji Güncellemesi,"Mastercard, In Control sanal kart platformuna yeni güvenlik kontrolleri, Issuer Enforced Controls ve Commercial Connect API ekleyerek entegrasyon zorlukları çözmeyi hedefliyor. Citi ilk kullanıcı olarak her iki kontrol türünü de uygulamış ve 2026 yılı içinde küresel olarak genişletmeyi planlıyor.","Mastercard, B2B ödeme platformlarına sanal kart entegrasyonunu kolaylaştırıyor; gömülü finans ve API-tabanlı ödeme çözümleri tarafında izlenmeli.","Bu haberin önemi, Mastercard'ın entegrasyon bariyerlerini düşürerek kurumsal müşterilerin kendi platformlarına ödeme çözümü gömülü hale getirmesini kolaylaştırması. Akbank için asıl soru, benzer API-tabanlı sanal kart veya ödeme kontrol çözümlerinin KOBİ muhasebe, tedarik zinciri ve nakit yönetimi yazılımlarına entegrasyonunda fırsat olup olmadığı.",Orta,İzle,Orta,REG-242,,recent_item_flow;summary_id:SUM-e4bd9a54e940;recent_item_id:RI-0cae9dfad4ac;confidence:Yüksek,SUM-e4bd9a54e940,RI-0cae9dfad4ac,,,,https://thepaypers.com/news,https://thepaypers.com/payments/news/mastercard-adds-new-controls-to-virtual-card-platform,Stratejik / BD Gelişmeleri,2026-07-28T07:54:47.856242+00:00
