offer_id,institution_id,institution_name,institution_tier,offer_title,offer_type,target_segment,customer_scope,dob_required,dob_channel,dob_evidence,value_summary,amount,term,fee_waiver,required_action,eligibility,valid_from,valid_until,status,confidence_level,source_url,last_checked,akbank_implication,notes,last_http_status,last_check_status,last_check_error,last_check_run_id,market_scope
NCO-G001,hsbc_uk,HSBC UK,Global Tier 1,Business Banking Account için 12 ay ücretsiz bankacılık,Ücretsiz hesap paketi,Start-up ve kurulu işletmeler,Yeni veya uygun business account müşterileri,Hayır,Online başvuru ve business banking kanalları,HSBC UK sayfası Small Business Banking Account ve Business Banking Account için dijital bankacılık ve online hesap açılışı akışlarını gösteriyor; 12 ay ücretsiz bankacılık Business Banking Account tarafında konumlanıyor.,Business Banking Account için 12 ay ücretsiz bankacılık; Small Business Banking Account tarafında aylık hesap ücreti yok ve UK digital banking ücretsiz.,12 ay ücretsiz bankacılık,12 ay,Aylık hesap ücreti / dijital bankacılık avantajı,Business account başvurusu yapmak,"Başvuru, uygunluk ve hesap tipine bağlı; ek işlem ücretleri ayrı uygulanabilir.",,,Aktif,Yüksek,https://www.business.hsbc.uk/en-gb/products-and-solutions/business-accounts,2026-09-04,Global SME ediniminde ücretsiz bankacılık mesajının hesap paketiyle sadeleştirilmesi izlenmeli.,Resmi HSBC UK business account sayfasından global benchmark satırı olarak eklendi.,200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G002,santander_uk,Santander UK,Global Tier 1,Business Current Account Classic için start-up / switcher 12 ay ücretsiz hesap,Ücretsiz hesap + ekosistem avantajı,Start-up veya banka değiştiren işletmeler,Business Current Account Classic açan uygun işletmeler,Hayır,Online başvuru / Santander business kanalları,Santander UK sayfası start-up veya switcher müşteriler için ilk 12 ay aylık hesap ücreti alınmadığını ve Xero avantajını gösteriyor; dijital kanallar destekleniyor ancak DOB tek şart olarak ayrışmıyor.,Start-up veya switcher işletmeler için ilk 12 ay aylık hesap ücreti yok; yeni Xero müşterileri için 6 ay ücretsiz kullanım ve hediye kart avantajı bulunuyor.,12 ay aylık ücret muafiyeti + Xero avantajı,12 ay hesap ücreti; Xero için 6 ay,Aylık hesap ücreti muafiyeti,Business Current Account Classic başvurusu yapmak,Start-up veya switcher olma koşulu; Xero avantajı yeni Xero müşterileri için geçerli.,,,Aktif,Yüksek,https://www.santander.co.uk/business/current-accounts/business-current-account-classic/,2026-09-04,Yeni işletme ediniminde banka hesabı ile muhasebe ekosistemi avantajını birlikte paketleme iyi uygulama olarak izlenmeli.,Resmi Santander UK business current account sayfasından global benchmark satırı olarak eklendi.,200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G003,ing_germany,ING Germany,Global Tier 1,Business Extra-Konto için yeni hesapta 4 ay avantajlı faiz,Yeni hesap / mevduat avantajı,Business Extra-Konto açan işletmeler,İlk Business Extra-Konto açan business müşteriler,Evet,Tamamen online hesap açılışı,ING Germany sayfası ilk Business Extra-Konto açılışının tamamen online ve kağıtsız yapılabildiğini belirtiyor.,"İlk Business Extra-Konto açılışında 1.000.000 EUR bakiyeye kadar 4 ay boyunca yıllık %3,75 faiz; hesap online açılıyor ve para yatırma/çekme esnekliği korunuyor.",1.000.000 EUR bakiyeye kadar,4 ay avantajlı faiz,Hesap için maliyetsiz/online akış mesajı,İlk Business Extra-Konto hesabını online açmak,Business Extra-Konto koşulları ve faiz dönemi kaynakta belirtilen hesap açılışına bağlı.,,,Aktif,Orta,https://www.ing.de/business/geldanlage/extra-konto/,2026-09-04,Yeni business müşteri ediniminde vadesiz/işletme bakiyesi yerine mevduat faiziyle aktivasyon kurgusu izlenmeli.,ING için en stabil resmi global kaynak Almanya Business Extra-Konto sayfası olduğu için ülke bazlı global örnek olarak eklendi.,200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G004,dbs_singapore,DBS Singapore,Global Tier 1,Business Multi-Currency Account Starter Bundle,Hesap açılışı + kart + dış ödeme avantajı,Yeni SME business account müşterileri,Online DBS Business Multi-Currency Account açan işletmeler,Evet,Online business account açılışı,"DBS sayfası Business Multi-Currency Account online açılışında nakit ödül, debit card aktivasyon ödülü ve overseas payment ücret avantajını birlikte sunuyor.",Online hesap açılışında S$138 nakit; Business Advance+ debit card aktivasyonu ve harcamayla S$260’a kadar ödül; kampanya döneminde overseas payment için S$15 sabit ücret.,S$138 + S$260’a kadar ödül,Kampanya dönemi; teklif 30 Eylül 2026’ya kadar,Overseas payment için S$15 sabit ücret avantajı,DBS Business Multi-Currency Account hesabını online açmak ve kartı aktive etmek,"Yeni hesap açılışı, minimum kart harcaması ve kampanya koşulları geçerli.",,2026-09-30,Aktif,Yüksek,https://www.dbs.com.sg/sme/day-to-day/accounts/dbs-business-multi-currency-account-starter-bundle,2026-09-04,"En güçlü global örneklerden biri: hesap açılışı, ticari kart aktivasyonu ve dış ödeme maliyetini tek edinim paketinde birleştiriyor.",Resmi DBS SME starter bundle sayfasından global benchmark satırı olarak eklendi.,200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G005,jpmorgan_chase,JPMorgan Chase,Global Tier 1,Chase Business Complete Checking yeni hesap bonusu,Yeni hesap nakit bonusu,Yeni business checking müşterileri,Yeni Chase Business Complete Checking hesabı açan işletmeler,Hayır,Online veya şube,Chase sayfası teklif kodunun online başvuruda otomatik uygulanabildiğini veya şube başvurusuyla kullanılabildiğini gösteriyor; DOB zorunlu tek kanal değil.,Yeni Business Complete Checking hesabı açan ve gerekli aktiviteleri tamamlayan işletmelere 500 USD’ye kadar bonus; aylık servis ücreti koşullarla 15 USD’den 0 USD’ye indirilebiliyor.,500 USD’ye kadar bonus,Teklif 15 Ekim 2026’ya kadar,Aylık servis ücreti koşullarla 0 USD’ye inebilir,Yeni business checking hesabı açmak ve teklif koduyla gerekli aktiviteleri tamamlamak,"Yeni business checking müşterisi olma, minimum yeni para ve hesap aktivite koşulları geçerli.",,2026-10-15,Aktif,Yüksek,https://account.chase.com/business/business-checking-offer,2026-09-04,Yeni business müşteri ediniminde doğrudan nakit bonus ve ölçülebilir aktivasyon koşulu çok net benchmark oluşturuyor.,Resmi Chase business checking offer sayfasından global benchmark satırı olarak eklendi.,200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G006,wise_business,Wise Business,Global Tier 2,Wise Business uluslararası hesap ve düşük maliyetli transfer önermesi,Global hesap / düşük maliyetli transfer,Uluslararası çalışan küçük işletmeler ve freelancerlar,Wise Business hesabı açan işletmeler,Evet,Online kayıt ve hesap açılışı,"Wise Business sayfası online hesap açılışı, çoklu para birimi hesabı, kart ve uluslararası ödeme özelliklerini business müşteriler için sunuyor.","Wise Business, işletmelere uluslararası hesap, para gönderme/alma, kart ve muhasebe entegrasyonlarını tek dijital hesapta sunuyor; 900.000’den fazla işletmenin kullandığı global ölçek mesajı var.",Ücretler işlem ve ülkeye göre değişir,Sürekli ürün önermesi,Aylık hesap ücreti yerine kullanım bazlı ücret yapısı öne çıkıyor,Wise Business hesabı açmak,"İşletme ülkesi, doğrulama ve Wise kullanım koşullarına bağlı.",,,Aktif,Yüksek,https://wise.com/gb/business/,2026-09-04,Global challenger benchmarkı olarak KOBİ dış ticaret/çoklu para birimi ve düşük maliyetli transfer deneyimi izlenmeli.,"Resmi Wise Business sayfasından global Tier 2 benchmark satırı olarak eklendi; kampanya değil, kalıcı edinim önermesi.",200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G007,tide,Tide,Global Tier 2,Tide ücretsiz UK business current account,Ücretsiz business hesap,UK küçük işletmeler ve yeni kurulan şirketler,Tide business current account açan işletmeler,Evet,Online / mobil hesap açılışı,"Tide sayfası ücretsiz UK business current account hesabının dakikalar içinde açılabildiğini ve ödeme, muhasebe ve tasarruf hesabı özelliklerini birlikte sunduğunu belirtiyor.","Aylık ücreti olmayan ücretsiz UK business current account; basit ödemeler, yerleşik muhasebe araçları ve tasarruf hesabı tek pakette sunuluyor.",Aylık hesap ücreti yok,Sürekli ürün önermesi,Aylık hesap ücreti muafiyeti,Tide business account açmak,UK işletme uygunluk ve doğrulama koşullarına bağlı.,,,Aktif,Yüksek,https://www.tide.co/business-current-account/,2026-09-04,Yeni işletme ediniminde ücretsiz hesap + muhasebe + ödeme araçlarının sade paketlenmesi iyi challenger örneği.,Resmi Tide business current account sayfasından global Tier 2 benchmark satırı olarak eklendi.,200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G008,starling_bank,Starling Bank,Global Tier 2,Starling Business Account aylık ücret olmayan business hesap,Ücretsiz business hesap,"UK limited şirketler, LLP ve uygun işletmeler",Starling business account açan işletmeler,Evet,Online / mobil başvuru,"Starling sayfası aylık ücreti olmayan, 24/7 destekli ve online başvurulan business account teklifini gösteriyor.","Aylık ücret olmayan lisanslı UK business account; ücretsiz fatura oluşturma, harcama içgörüleri ve vergi alanları gibi işletme araçlarıyla birlikte sunuluyor.",Aylık hesap ücreti yok,Sürekli ürün önermesi,Aylık hesap ücreti muafiyeti,Starling business account başvurusu yapmak,"UK şirket tipi, işletme uygunluğu ve başvuru değerlendirmesine bağlı.",,,Aktif,Yüksek,https://www.starlingbank.com/business-account/,2026-09-04,"Ücretsiz hesap önermesinin fatura, vergi alanı ve harcama analitiğiyle güçlendirilmesi KOBİ ana banka deneyimi için izlenmeli.",Resmi Starling business account sayfasından global Tier 2 benchmark satırı olarak eklendi.,200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G009,monzo_business,Monzo Business,Global Tier 2,Monzo Business ücretsiz başlangıç planı,Ücretsiz business hesap,UK küçük işletmeler ve bağımsız çalışanlar,Monzo Business Banking hesabı açan işletmeler,Evet,Mobil / online başvuru,"Monzo Business sayfası aylık ücreti olmayan başlangıç planı, uygunluk kontrolü ve business banking başvuru akışını öne çıkarıyor.","Aylık ücreti olmayan Monzo Business başlangıç planı; mobil/web yönetim, takım harcamaları, vergi bütçeleme ve ana business account’a geçiş mesajı bulunuyor.",Aylık hesap ücreti yok,Sürekli ürün önermesi,Başlangıç planında aylık ücret yok,Monzo Business Banking başvurusu yapmak,Monzo Business uygunluk kriterleri ve hesap onayına bağlı.,,,Aktif,Yüksek,https://monzo.com/business-banking,2026-09-04,Yeni KOBİ ediniminde ücretsiz başlangıç planı ve upgrade edilebilir business banking katmanı iyi ürün paketleme örneği.,Resmi Monzo Business Banking sayfasından global Tier 2 benchmark satırı olarak eklendi.,200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G010,airwallex,Airwallex,Global Tier 2,Airwallex uluslararası business account ve sıfır uluslararası kart ücreti,Çoklu para birimi / uluslararası ödeme hesabı,Uluslararası ödeme ve tahsilat yapan işletmeler,Airwallex business account açan işletmeler,Evet,Online business account açılışı,"Airwallex sayfası online business account, global accounts, FX & transfers, corporate cards ve expense management özelliklerini tek dijital hesapta sunuyor.","Çoklu para birimi hesabı, global tahsilat, hızlı uluslararası transfer, şirket kartları ve masraf yönetimi; uluslararası kart harcamalarında sıfır ücret ve FX-free cüzdan harcaması mesajı var.",Uluslararası kart harcamasında sıfır ücret mesajı,Sürekli ürün önermesi,Uluslararası kart harcamasında sıfır ücret / FX-free cüzdan harcaması,Airwallex business account açmak,"Ülke, şirket doğrulama ve Airwallex kullanım koşullarına bağlı.",,,Aktif,Yüksek,https://www.airwallex.com/en-uk/business-account,2026-09-04,"Dış ticaret yapan KOBİ’ler için hesap, tahsilat, FX, kart ve masraf yönetimini tek edinim önermesinde toplama iyi global fintech benchmarkı.",Resmi Airwallex business account sayfasından global Tier 2 benchmark satırı olarak eklendi.,200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G011,bank_of_america,Bank of America,Global Tier 1,Business Advantage Fundamentals Banking için ilk 12 ay aylık ücret yok,Ücretsiz hesap paketi,Yeni ve küçük işletmeler,Business Advantage Fundamentals Banking hesabı açan uygun işletmeler,Evet,Online başvuru / branch destekli business banking,"Bank of America sayfası hesabın yeni ve küçük işletmeler için konumlandığını, online açılış adımı olduğunu ve ilk 12 ay aylık ücret alınmadığını gösteriyor.","Business Advantage Fundamentals Banking hesabında ilk 12 ay aylık ücret yok; sonrasında ücret belirli bakiye, kart harcaması veya Preferred Rewards koşullarıyla sıfırlanabiliyor.",İlk 12 ay aylık ücret yok,12 ay,Aylık hesap ücreti ilk 12 ay alınmıyor; sonrası koşullu muafiyet,Business Advantage Fundamentals Banking hesabı açmak,"Başvuru, hesap onayı ve ücret muafiyeti koşullarına bağlı.",,,Aktif,Yüksek,https://business.bankofamerica.com/en/deposits/checking-accounts,2026-09-04,Yeni küçük işletme ediniminde ilk yıl hesap ücreti muafiyeti ve sonraki koşullu muafiyet yapısı güçlü bir global benchmark.,Resmi Bank of America business checking sayfasından global Tier 1 benchmark satırı olarak eklendi.,200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G012,citi,Citi,Global Tier 1,CitiBusiness Preferred Programs ile yeni checking hesabına bağlı avantajlar,Business checking program avantajı,Küçük işletmeler,CitiBusiness Streamlined veya Flexible Checking hesabı olan/açan işletmeler,Hayır,CitiBusiness başvuru kanalları,Citi sayfası Preferred Programs avantajlarından yararlanmak için CitiBusiness Streamlined veya Flexible Checking hesabına sahip olma ya da hesap açma şartını gösteriyor; tamamen dijital DOB şartı ayrışmıyor.,"CitiBusiness Preferred Programs, checking hesabı açan veya kullanan işletmelere daha iyi oranlar, özel tasarruflar ve online/mobile banking gibi günlük işlem araçları sunuyor.",Program avantajları; tutar kaynakta paket bazında değişiyor,Sürekli program önermesi,Preferred pricing / özel tasarruf avantajları,CitiBusiness Streamlined veya Flexible Checking hesabı açmak ya da mevcut hesaba sahip olmak,"Preferred Program koşulları, hesap tipi ve CitiBusiness uygunluk değerlendirmesine bağlı.",,,Aktif,Orta,https://www.citi.com/small-business-banking/preferred-programs,2026-09-04,Citi örneği doğrudan kampanya değil; yeni veya mevcut business checking müşterisini fiyat/benefit programıyla segmente etme yaklaşımı izlenmeli.,Citi business checking ana sayfası JS ağırlıklı olduğu için erişilebilir resmi Preferred Programs sayfası kullanıldı.,200,Erişildi,,new_customer_daily_33851888475,Global
NCO-G013,bnp_paribas,BNP Paribas,Global Tier 1,"BNP Paribas Pro paketinde business hesap, Visa Business kart ve tercihli POS komisyonu",Business hesap + kart + POS paketi,"Profesyoneller, TPE/PME ve girişimciler",BNP Paribas profesyonel müşteri hesabı açan işletmeler,Hayır,Online müşteri olma yönlendirmesi ve şube/uzman desteği,"BNP Paribas Pro sayfası “Devenir client” akışı, tüzel veya bireysel girişimci hesap açılışı ve paket içinde Visa Business kart ile tercihli POS komisyonlarını gösteriyor.","Profesyonel müşteri paketinde hesap yönetimi, Visa Business kart, finansal yönetim/fatura çözümü ve tercihli POS komisyonları birlikte konumlanıyor.",Paket koşulları kaynakta ürün bazında değişiyor,Sürekli ürün önermesi,Paket içi yönetim ve POS komisyon avantajı mesajı,BNP Paribas profesyonel müşteri hesabı açmak,"Tüzel yapı, profesyonel statü ve BNP Paribas değerlendirmesine bağlı.",,,Aktif,Orta,https://mabanquepro.bnpparibas/,2026-09-04,"Business hesap, kart, fatura/finansal yönetim ve POS komisyon avantajını tek paket diliyle sunma yaklaşımı KOBİ edinimi için izlenmeli.",BNP Paribas Fortis sayfaları erişimde 503 verdiği için erişilebilir resmi BNP Paribas Professionnels sayfası kullanıldı.,200,Erişildi,,new_customer_daily_33851888475,Global
