source_id,tier,institution_id,institution_name,source_name,source_type,url,collection_method,update_frequency,reliability_level,strategic_themes,active,notes,extraction_mode,coverage_scope,coverage_priority,sme_relevance,source_validation_status,collector_capability,mvp_active,exclusion_reason,last_validated_at
REG-011,Tier 1,yapi_kredi,Yapı Kredi,Yapı Kredi KOBİ Kampanyaları,Resmi Kampanya Sayfası,https://www.yapikredi.com.tr/kampanyalar/kategori/kobi/,static_scrape,Weekly,Yüksek,Kampanyalar; KOBİ Mevduat; Ödemeler ve POS,True,Official SME campaign page.,weekly_development,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-012,Tier 1,yapi_kredi,Yapı Kredi,Yapı Kredi Basın Bültenleri,Resmi Basın Bülteni Sayfası,https://www.yapikredi.com.tr/yapi-kredi-hakkinda/basin-bultenleri,static_scrape,Weekly,Yüksek,iş birlikleri; Kampanyalar; Regülasyon,True,Resmi Basın Bülteni Sayfası.,weekly_development,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-013,Tier 1,qnb_finansbank,QNB Finansbank,QNB Finansbank KOBİ / KOBİ sayfası,Resmi KOBİ Sayfası,https://www.qnbfinansbank.com/kobi,static_scrape,Weekly,Yüksek,KOBİ Mevduat; Ödemeler ve POS; KOBİ Kredileri,True,Resmi KOBİ Sayfası.,benchmark_fact,KOBİ Rakip Banka,Existing,Yüksek,Not checked,static_scrape,False,,
REG-014,Tier 1,denizbank,DenizBank,DenizBank İşim İçin / KOBİ Banking,Resmi KOBİ Sayfası,https://www.denizbank.com/isim-icin/kobi-bankaciligi,static_scrape,Weekly,Yüksek,KOBİ Mevduat; Ödemeler ve POS; KOBİ Kredileri,True,Official KOBİ bankacılığı page.,benchmark_fact,KOBİ Rakip Banka,Existing,Yüksek,Not checked,static_scrape,False,,
REG-015,Tier 1,denizbank,DenizBank,DenizBank Üye İşyeri ve POS İşlemleri,Resmi POS Sayfası,https://www.denizbank.com/isim-icin/kobi-bankaciligi/uye-isyeri-ve-pos-islemleri,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Dijital KOBİ Yolculuğu,True,Official merchant and POS services page.,benchmark_fact,KOBİ Rakip Banka,Existing,Yüksek,Not checked,static_scrape,False,,
REG-016,Tier 1,teb,TEB,TEB Firmaniz Icin,Resmi KOBİ Sayfası,https://www.teb.com.tr/firmaniz-icin/,static_scrape,Weekly,Yüksek,KOBİ Mevduat; Ödemeler ve POS; KOBİ Kredileri; Nakit Yönetimi,True,Official business banking page.,benchmark_fact,KOBİ Rakip Banka,Existing,Yüksek,Not checked,static_scrape,False,,
REG-017,Tier 1,vakifbank,VakifBank,VakifBank POS / Üye İşyeri Hizmetleri,Resmi POS Sayfası,https://www.vakifbank.com.tr/tr/ticari/kobilere-ozel/posuye-is-yeri-hizmetleri,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Dijital KOBİ Yolculuğu,True,Official POS services page.,benchmark_fact,Kapsam Dışı,Excluded,Orta,Not checked,static_scrape,False,Public or participation bank excluded from current private-bank competitor scope.,
REG-018,Tier 1,vakifbank,VakifBank,VakifBank POS Kampanyaları,Resmi Kampanya Sayfası,https://www.vakifbank.com.tr/tr/ticari/kobilere-ozel/posuye-is-yeri-hizmetleri/kampanyalar,static_scrape,Weekly,Yüksek,Kampanyalar; Ödemeler ve POS,True,Official POS campaign page.,weekly_development,Kapsam Dışı,Excluded,Orta,Not checked,static_scrape,False,Public or participation bank excluded from current private-bank competitor scope.,
REG-019,Tier 1,ziraat_bankasi,Ziraat Bankasi,Ziraat Bankasi Üye İşyeri ve POS Hizmetleri,Resmi POS Sayfası,https://www.ziraatbank.com.tr/tr/kurumsal/uye-isyeri-ve-pos-hizmetleri/pos-uygulamalarimiz,static_scrape,Weekly,Yüksek,Ödemeler ve POS,True,Official POS applications page.,benchmark_fact,Kapsam Dışı,Excluded,Orta,Not checked,static_scrape,False,Public or participation bank excluded from current private-bank competitor scope.,
REG-020,Tier 1,bankkart_pos,Bankkart POS,Bankkart POS,Resmi POS Sayfası,https://www.bankkartpos.com.tr/,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Kampanyalar,True,Official Bankkart POS site.,benchmark_fact,Kapsam Dışı,Excluded,Orta,Not checked,static_scrape,False,Public or participation bank excluded from current private-bank competitor scope.,
REG-021,Tier 1,halkbank,Halkbank,Halkbank Üye İşyeri ve POS Hizmetleri,Resmi POS Sayfası,https://www.halkbank.com.tr/tr/ticari-kurumsal/uye-isyeri-ve-pos-hizmetleri,static_scrape,Weekly,Yüksek,Ödemeler ve POS; KOBİ Mevduat,True,Official merchant and POS services page.,benchmark_fact,Kapsam Dışı,Excluded,Orta,Not checked,static_scrape,False,Public or participation bank excluded from current private-bank competitor scope.,
REG-022,Tier 1,halkbank,Halkbank,Halkbank Üye İşyeri Ucret ve Komisyonlari,Resmi Fiyat/Ücret Sayfası,https://www.halkbank.com.tr/tr/ticari-kurumsal/uye-isyeri-ve-pos-hizmetleri/uye-isyeri-hizmetleri/uye-isyeri-ucret-ve-komisyonlari,static_scrape,Weekly,Yüksek,Fiyatlama Şeffaflığı; Ödemeler ve POS,True,Official merchant pricing page.,benchmark_fact,Kapsam Dışı,Excluded,Orta,Not checked,static_scrape,False,Public or participation bank excluded from current private-bank competitor scope.,
REG-023,Tier 1,kuveyt_turk,Kuveyt Türk,Kuveyt Türk İşim İçin,Resmi KOBİ Sayfası,https://www.kuveytturk.com.tr/isim-icin,static_scrape,Weekly,Yüksek,KOBİ Mevduat; Ödemeler ve POS; KOBİ Kredileri,True,Official business banking page.,benchmark_fact,Kapsam Dışı,Excluded,Orta,Not checked,static_scrape,False,Public or participation bank excluded from current private-bank competitor scope.,
REG-024,Tier 1,kuveyt_turk,Kuveyt Türk,Kuveyt Türk POS Hizmetleri,Resmi POS Sayfası,https://www.kuveytturk.com.tr/isim-icin/kartlar-ve-pos/pos-hizmetleri,static_scrape,Weekly,Yüksek,Ödemeler ve POS,True,Official POS services page.,benchmark_fact,Kapsam Dışı,Excluded,Orta,Not checked,static_scrape,False,Public or participation bank excluded from current private-bank competitor scope.,
REG-025,Tier 1,kuveyt_turk,Kuveyt Türk,Kuveyt Türk KOBİ Kampanyaları,Resmi Kampanya Sayfası,https://www.kuveytturk.com.tr/kampanyalar/isim-icin/kobi-kampanyalari,static_scrape,Weekly,Yüksek,Kampanyalar; KOBİ Mevduat; Ödemeler ve POS,True,Official SME Kampanyalar page.,weekly_development,Kapsam Dışı,Excluded,Orta,Not checked,static_scrape,False,Public or participation bank excluded from current private-bank competitor scope.,
REG-026,Tier 1,iyzico,iyzico,iyzico İşim İçin Ödeme Çözümleri,Resmi Ürün Sayfası,https://www.iyzico.com/isim-icin,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Gömülü Finans,True,Official payment solutions page.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-027,Tier 1,iyzico,iyzico,iyzico Basın,Resmi Basın Bülteni Sayfası,https://www.iyzico.com/hakkimizda/basin,static_scrape,Weekly,Yüksek,iş birlikleri; Kampanyalar; Ödemeler ve POS,True,Official press page.,weekly_development,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-028,Tier 1,iyzico,iyzico,iyzico Blog,Resmi Ürün Sayfası,https://www.iyzico.com/blog,static_scrape,Weekly,Orta,Ödemeler ve POS; Gömülü Finans; Global İyi Uygulama,True,Official blog; analyst should confirm product relevance.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-029,Tier 1,paytr,PayTR,PayTR Blog,Resmi Ürün Sayfası,https://www.paytr.com/blog,static_scrape,Weekly,Orta,Ödemeler ve POS; Gömülü Finans,True,Official blog; use as market signal Kaynak.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-030,Tier 1,paytr,PayTR,PayTR Link ile Ödeme,Resmi Ürün Sayfası,https://www.paytr.com/blog/link-ile-odeme,static_scrape,Weekly,Orta,Ödemeler ve POS; Dijital KOBİ Yolculuğu,True,Official product/blog page for payment links.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-031,Tier 1,param,Param,Param Sanal POS,Resmi Ürün Sayfası,https://param.com.tr/param-sanal-pos,static_scrape,Weekly,Yüksek,Ödemeler ve POS,True,Official Sanal POS page.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-032,Tier 1,param,Param,Param Basın,Resmi Basın Bülteni Sayfası,https://param.com.tr/basin,static_scrape,Weekly,Yüksek,iş birlikleri; Ödemeler ve POS; Gömülü Finans,True,Official press page.,weekly_development,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-033,Tier 1,sipay,Sipay,Sipay Link ile Ödeme,Resmi Ürün Sayfası,https://sipay.com.tr/odeme-cozumleri/online-odeme-cozumleri/link-ile-odeme/,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Dijital KOBİ Yolculuğu,True,Resmi Ürün Sayfası.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-034,Tier 1,visa,Visa,Visa Small Business / Visa & Main,Resmi Basın Bülteni Sayfası,https://usa.visa.com/about-visa/newsroom/press-releases.releaseId.22121.html,static_scrape,Weekly,Yüksek,Global İyi Uygulama; KOBİ Mevduat; Gömülü Finans; KOBİ Kredileri,True,Official Visa press release.,weekly_development,Global Ödeme Ağı,Current,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-035,Tier 1,mastercard,Mastercard,Mastercard Türkiye SME digitalization article,Resmi Basın Bülteni Sayfası,https://www.mastercard.com/news/eemea/en/newsroom/press-releases/en/2025-1/august/the-path-to-smart-smes-lies-in-encouraging-digital-investments/,static_scrape,Weekly,Yüksek,Global İyi Uygulama; Dijital KOBİ Yolculuğu; Gömülü Finans,True,Official Mastercard article.,weekly_development,Global Ödeme Ağı,Current,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-036,Tier 1,mastercard,Mastercard,Mastercard EEMEA Press Releases,Resmi Basın Bülteni Sayfası,https://www.mastercard.com/news/eemea/en/newsroom/press-releases/,static_scrape,Weekly,Yüksek,Global İyi Uygulama; iş birlikleri; Ödemeler ve POS; Gömülü Finans,True,Official Mastercard press release listing.,weekly_development,Global Ödeme Ağı,Current,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-037,Tier 1,bkm,BKM,BKM Ödeme Çözümleri / TechPOS,Sektör Birliği,https://bkm.com.tr/urunler-ve-hizmetler/odeme-cozumleri/,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Gömülü Finans; Regülasyon,True,Sektör Birliği page relevant to payment infrastructure.,both,Regülasyon / Haber,Existing,Orta,Legacy active weekly source,static_scrape,False,,
REG-038,Tier 1,bkm,BKM,BKM TROY,Sektör Birliği,https://bkm.com.tr/urunler-ve-hizmetler/troy/,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Regülasyon,True,Sektör Birliği page for TROY.,both,Regülasyon / Haber,Existing,Orta,Legacy active weekly source,static_scrape,False,,
REG-039,Tier 1,troy,TROY,TROY,Resmi Ürün Sayfası,https://www.troyodeme.com/,static_scrape,Weekly,Yüksek,Ödemeler ve POS,True,Official TROY product site.,benchmark_fact,Sektör / Altyapı,Current,Yüksek,Not checked,static_scrape,False,,
REG-040,Tier 1,stripe,Stripe,Stripe Gömülü Finans,Resmi Ürün Sayfası,https://stripe.com/en-de/use-cases/embedded-finance,static_scrape,Weekly,Yüksek,Gömülü Finans; Global İyi Uygulama,True,Official global benchmark product page.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-041,Tier 1,stripe,Stripe,Stripe Newsroom,Resmi Basın Bülteni Sayfası,https://stripe.com/newsroom,static_scrape,Weekly,Yüksek,Global İyi Uygulama; Gömülü Finans; Ödemeler ve POS,True,Official newsroom.,weekly_development,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-042,Tier 1,stripe,Stripe,Stripe Embedded payments for small businesses,Resmi Ürün Sayfası,https://stripe.com/resources/more/embedded-payments-for-small-businesses,static_scrape,Weekly,Yüksek,Gömülü Finans; Ödemeler ve POS; Global İyi Uygulama,True,Official reKaynak page.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-043,Tier 1,adyen,Adyen,Adyen Unified Commerce,Resmi Ürün Sayfası,https://www.adyen.com/unified-commerce,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Gömülü Finans; Global İyi Uygulama,True,Official unified commerce page.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-044,Tier 1,adyen,Adyen,Adyen Press and Media,Resmi Basın Bülteni Sayfası,https://www.adyen.com/press-and-media,static_scrape,Weekly,Yüksek,Global İyi Uygulama; iş birlikleri; Ödemeler ve POS,True,Official press page.,weekly_development,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-045,Tier 1,revolut_business,Revolut Business,Revolut Business Accept Payments,Resmi Ürün Sayfası,https://www.revolut.com/business/accept-payments/,static_scrape,Weekly,Yüksek,Ödemeler ve POS; KOBİ Mevduat; Dijital KOBİ Yolculuğu,True,Official business payments page.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-046,Tier 1,revolut_business,Revolut Business,Revolut İşletme API,Resmi Geliştirici/API Dokümanı,https://developer.revolut.com/docs/business/business-api,static_scrape,Weekly,Yüksek,Gömülü Finans; Nakit Yönetimi; Dijital KOBİ Yolculuğu,True,Official developer documentation.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-047,Tier 1,wise_business,Wise Business,Wise Platform,Resmi Ürün Sayfası,https://wise.com/platform/,static_scrape,Weekly,Yüksek,Gömülü Finans; Ödemeler ve POS; Global İyi Uygulama,True,Official platform page.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-048,Tier 1,wise_business,Wise Business,Wise Platform API Docs,Resmi Geliştirici/API Dokümanı,https://docs.wise.com/,static_scrape,Weekly,Yüksek,Gömülü Finans; Ödemeler ve POS,True,Official developer documentation.,benchmark_fact,Fintech / Benchmark,Existing,Orta,Not checked,static_scrape,False,,
REG-049,Tier 2,rekabet_kurumu,Rekabet Kurumu,Rekabet Kurumu Güncel,Regülatör,https://www.rekabet.gov.tr/tr/Guncel,static_scrape,Weekly,Yüksek,Regülasyon; Ödemeler ve POS; Competition,True,Regülatör updates.,weekly_development,Regülasyon / Haber,Existing,Orta,Not checked,static_scrape,False,,
REG-050,Tier 2,rekabet_kurumu,Rekabet Kurumu,Rekabet Kurumu Mastercard and Visa investigation,Regülatör,https://www.rekabet.gov.tr/en/Guncel/investigation-launched-on-mastercard-and-visa-b69b1d5fb063f01193e90050568585c9,static_scrape,Weekly,Yüksek,Regülasyon; Ödemeler ve POS,True,Regülatör investigation page.,weekly_development,Regülasyon / Haber,Existing,Orta,Not checked,static_scrape,False,,
REG-051,Tier 2,tcmb,TCMB,TCMB Duyurular,Regülatör,https://www.tcmb.gov.tr/wps/wcm/connect/TR/TCMB+TR/Main+Menu/Duyurular/,static_scrape,Weekly,Yüksek,Regülasyon; Ödemeler ve POS; KOBİ Mevduat,True,Central bank announcements.,weekly_development,Regülasyon / Haber,Existing,Orta,Not checked,static_scrape,False,,
REG-052,Tier 2,bddk,BDDK,BDDK Duyurular,Regülatör,https://www.bddk.org.tr/Duyurular,static_scrape,Weekly,Yüksek,Regülasyon; KOBİ Mevduat; KOBİ Kredileri,True,Banking Regülatör announcements.,weekly_development,Regülasyon / Haber,Existing,Orta,Not checked,static_scrape,False,,
REG-053,Tier 2,kap,KAP,KAP Bank announcements search page,Regülatör,https://www.kap.org.tr/tr/,manual,Weekly,Yüksek,Yatırımcı İlişkileri; Regülasyon; iş birlikleri,True,Manual İzleing recommended for search-driven announcements.,weekly_development,Regülasyon / Haber,Existing,Orta,Manual source,manual,False,,
REG-054,Tier 2,turkiye_bankalar_birligi,Türkiye Bankalar Birligi,Türkiye Bankalar Birligi Duyurular,Sektör Birliği,https://www.tbb.org.tr,static_scrape,Weekly,Yüksek,Banking Sector; KOBİ Mevduat; Regülasyon,True,Banking association updates.,both,Regülasyon / Haber,Existing,Orta,Not checked,static_scrape,False,,
REG-055,Tier 2,todeb,TODEB,TODEB Duyurular,Sektör Birliği,https://www.todeb.org.tr,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Regülasyon; Gömülü Finans,True,Payment and e-money association updates.,both,Regülasyon / Haber,Existing,Orta,Not checked,static_scrape,False,,
REG-056,Tier 2,webrazzi,Webrazzi,Webrazzi Fintech,Fintech Haberi,https://webrazzi.com/kategori/fintech/,static_scrape,Weekly,Orta,Gömülü Finans; Ödemeler ve POS; iş birlikleri,True,Tier 2 Fintech Haberi Kaynak.,weekly_development,Regülasyon / Haber,Existing,Orta,Not checked,static_scrape,False,,
REG-057,Tier 2,fintech_istanbul,FinTech Istanbul,FinTech Istanbul,Fintech Haberi,https://fintechistanbul.org,static_scrape,Weekly,Orta,Gömülü Finans; Ödemeler ve POS; Regülasyon,True,Tier 2 Fintech Haberi Kaynak.,weekly_development,Regülasyon / Haber,Existing,Orta,Not checked,static_scrape,False,,
REG-058,Tier 2,dunya_gazetesi,Dünya Gazetesi,Dünya Gazetesi Finans,İş/Ekonomi Haberi,https://www.dunya.com/finans,static_scrape,Weekly,Orta,KOBİ Mevduat; Banking Sector; Regülasyon,True,Tier 2 İş/Ekonomi Haberi Kaynak.,weekly_development,Regülasyon / Haber,Existing,Orta,Not checked,static_scrape,False,,
REG-059,Tier 2,bloomberg_ht,Bloomberg HT,Bloomberg HT Finans,İş/Ekonomi Haberi,https://www.bloomberght.com/finans,static_scrape,Weekly,Orta,Banking Sector; Regülasyon; KOBİ Mevduat,True,Tier 2 İş/Ekonomi Haberi Kaynak.,weekly_development,Regülasyon / Haber,Existing,Orta,Not checked,static_scrape,False,,
REG-060,Tier 2,anadolu_ajansi,Anadolu Ajansı,Anadolu Ajansı Economy,Haber Sitesi,https://www.aa.com.tr/en/economy,static_scrape,Weekly,Orta,Regülasyon; Banking Sector; Ödemeler ve POS,True,Tier 2 economy news Kaynak.,weekly_development,Regülasyon / Haber,Existing,Orta,Not checked,static_scrape,False,,
REG-061,Tier 1,qnb_finansbank,QNB Finansbank,QNB Finansbank Kampanyalar,Resmi Kampanya Sayfası,https://www.qnb.com.tr/kampanyalar,static_scrape,Weekly,Yüksek,KOBİ Kredileri; Ödemeler ve POS; Kampanyalar,True,QNB official campaigns listing for recent-development monitoring.,weekly_development,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-062,Tier 1,qnb_finansbank,QNB Finansbank,QNB Card KOBİ Ticari Kredi Kartı Kampanyaları,Resmi Kampanya Sayfası,https://www.qnbcard.com.tr/kartlar/ticari-kartlar/qnb-kobi-ticari-kredi-karti/qnb-kobi-ticari-kredi-karti-kampanyalari,static_scrape,Weekly,Yüksek,Ticari Kartlar; KOBİ; Kampanyalar,True,QNB Card official SME commercial card campaign page.,weekly_development,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-063,Tier 1,qnb_finansbank,QNB Finansbank,QNB KOBİ POS Çözümleri,Resmi Kampanya Sayfası,https://www.qnb.com.tr/isim-icin/kobi/kobi-pos-cozumleri,static_scrape,Weekly,Yüksek,Ödemeler ve POS; KOBİ; Tahsilat,True,QNB official SME POS solutions page; monitored for dated campaign/detail links.,both,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-064,Tier 1,qnb_finansbank,QNB Finansbank,QNB POS,Resmi Kampanya Sayfası,https://www.qnb.com.tr/isim-icin/kobi/kobi-pos-cozumleri/pos,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Üye İşyeri; Tahsilat,True,QNB POS product page; monitored for campaign/detail links.,both,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-065,Tier 1,qnb_finansbank,QNB Finansbank,QNB Yazar Kasa POS,Resmi Kampanya Sayfası,https://www.qnb.com.tr/isim-icin/kobi/kobi-pos-cozumleri/yazar-kasa-pos,static_scrape,Weekly,Yüksek,Ödemeler ve POS; Üye İşyeri; Tahsilat,True,QNB cash register POS page; monitored for campaign/detail links.,both,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-066,Tier 1,qnb_finansbank,QNB Finansbank,QNB KOBİ Kredileri,Resmi Kampanya Sayfası,https://www.qnb.com.tr/kobi-kredileri,static_scrape,Weekly,Yüksek,KOBİ Kredileri; Nakit Yönetimi; Kampanyalar,True,QNB SME loans page; monitored only when dated development links are present.,both,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-067,Tier 1,qnb_finansbank,QNB Finansbank,QNB KOBİ Rahat,Resmi Kampanya Sayfası,https://www.qnb.com.tr/kobi-rahat,static_scrape,Weekly,Yüksek,Dijital KOBİ Yolculuğu; KOBİ Kredileri; Kampanyalar,True,QNB KOBİ Rahat page; monitored for dated product/campaign developments.,both,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-068,Tier 1,qnb_finansbank,QNB Finansbank,QNB KOBİ Ticari Kredi Kartları,Resmi Kampanya Sayfası,https://www.qnb.com.tr/kobi-ticari-kredi-kartlari,static_scrape,Weekly,Yüksek,Ticari Kartlar; KOBİ; Kampanyalar,True,QNB official SME commercial credit cards page; monitored for dated campaign/detail links.,both,KOBİ Rakip Banka,Existing,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-069,Tier 1,visa,Visa,Visa Türkiye KOBİ Araçları,Resmi Kampanya Sayfası,https://www.visa.com.tr/run-your-business/small-business-tools.html,static_scrape,Weekly,Yüksek,Global İyi Uygulama; Ödemeler ve POS; KOBİ; Gömülü Finans,True,Visa Türkiye official SME tools page; permanent capability page monitored as benchmark context rather than recent-development feed.,benchmark_fact,Global Ödeme Ağı,Current,Yüksek,Not checked,static_scrape,False,,
REG-070,Tier 1,visa,Visa,Visa Global Newsroom,Resmi Basın Bülteni Sayfası,https://usa.visa.com/about-visa/newsroom.html,static_scrape,Weekly,Yüksek,Global İyi Uygulama; Ödemeler ve POS; KOBİ; Gömülü Finans,True,Visa official newsroom surface for payment ecosystem and SME signals.,weekly_development,Global Ödeme Ağı,Current,Yüksek,Legacy active weekly source,static_scrape,True,,
REG-071,Tier 1,mastercard,Mastercard,Mastercard EEMEA Newsroom,Resmi Basın Bülteni Sayfası,https://www.mastercard.com/news/eemea/en/newsroom/,manual,Weekly,Yüksek,Global İyi Uygulama; Ödemeler ve POS; Gömülü Finans; İş Birlikleri,False,Disabled for static collector: official Mastercard page returns 403 to requests-based scraping; keep as manual reference until browser collector exists.,weekly_development,Global Ödeme Ağı,Current,Yüksek,Manual source,manual,False,,
